LAD19CD,Name,Latest infection rate,Mean infection rate over last 3 weeks,upper,lower,Clinically extremely vulnerable,Extent,Percentage of population who are white UK born,Percentage of population who are white not UK born,Percentage of population who are ethnic minority UK born,Percentage of population who are ethnic minority not UK born,Dispersed Accommodation,Subsistence Only,People receiving Section 95 support,LAD19NM,Furlough count,Furlough rate,Homelessness
E08000008,Tameside,96.8,70.30666666666667,99.73603012110335,40.87730321222999,9700,0.4155,84.8,3.3,6.5,5.3,534,10,544,Tameside,34800,0.33,2.102
E08000009,Trafford,37.23,36.666666666666664,39.671534938876505,33.661798394456824,8990,0.1127,78.3,4.4,10.4,6.9,75,14,89,Trafford,32600,0.28999999999999998,1.622
E08000010,Wigan,38.95,30.05666666666667,44.6708698037978,15.442463529535537,14140,0.3135,93.8,2.5,1.8,1.8,865,8,873,Wigan,45700,0.31,1.394
E08000011,Knowsley,88.25,50.36666666666667,88.81875677024014,11.914576563093192,9265,0.5992,94.1,3.1,1.6,1.2,157,0,157,Knowsley,21900,0.31,1.653
E08000012,Liverpool,83.47,52.61333333333333,85.87499945716624,19.351667209500427,46625,0.6213,81.7,6.7,5,6.5,1453,30,1483,Liverpool,64900,0.32,1.321
E08000013,St. Helens,76.65,44.61666666666667,79.9856422431989,9.247691090134438,12805,0.4011,95.9,2.1,0.8,1.2,179,2,181,St. Helens,23900,0.28999999999999998,1.324
E08000014,Sefton,44.66,32.92,47.42838378317861,18.411616216821393,22480,0.2977,92,4.7,1.7,1.6,180,0,180,Sefton,34900,0.28999999999999998,0.692
E08000015,Wirral,76.11,57.54666666666667,81.63963313684906,33.45370019648427,15185,0.3526,94.1,2.7,2.3,0.9,216,1,217,Wirral,40200,0.28999999999999998,0.56
E08000016,Barnsley,22.43,21.34,33.611360967716664,9.068639032283338,13305,0.3838,92.7,4.7,1.5,1.1,391,5,396,Barnsley,34600,0.32,0.163
E08000017,Doncaster,19,11.163333333333334,19.053874083708642,3.2727925829580258,16650,0.3984,88.7,5.6,2.4,3.3,260,6,266,Doncaster,43600,0.32,1.97
E08000018,Rotherham,34,25.060000000000002,37.130223693039,12.989776306961003,12345,0.3571,92.2,2.1,3.7,2,410,3,413,Rotherham,37200,0.32,0.858
E08000019,Sheffield,41.37,33.53,44.54217962076537,22.51782037923464,23620,0.3401,78.5,4.9,8.5,8,844,34,878,Sheffield,69400,0.28999999999999998,1.877
E08000021,Newcastle upon Tyne,52.63,40.52666666666667,60.630448234653656,20.422885098679682,10500,0.3706,77,5.8,6.4,10.9,806,50,856,Newcastle upon Tyne,39100,0.32,1.586
